retrieval,topk,weights,alpha,R@1,R@3,R@5,Score
hybrid,3.0,"(0.5, 0.3, 0.2)",0.005,0.015405224380442064,0.05626255860683188,0.09176155391828533,0.04293369055592766
topk,10.0,,0.02,0.016744809109176157,0.05291359678499665,0.09243134628265237,0.04273275284661755
topk,10.0,,0.03,0.014735432016075016,0.058941728064300064,0.08640321500334897,0.04233087742799732
topk,5.0,,0.01,0.017414601473543203,0.05291359678499665,0.0884125920964501,0.042263898191560616
hybrid,10.0,"(0.5, 0.3, 0.2)",0.01,0.014735432016075016,0.055592766242464835,0.09109176155391828,0.04226389819156061
topk,3.0,,0.005,0.017414601473543203,0.052243804420629605,0.08908238446081715,0.04219691895512391
hybrid,3.0,"(0.3, 0.5, 0.2)",0.005,0.01406563965170797,0.05023442732752847,0.10046885465505694,0.04219691895512391
hybrid,5.0,"(0.4, 0.4, 0.2)",0.01,0.01406563965170797,0.05157401205626256,0.09377093101138648,0.04125920964501005
hybrid,10.0,"(0.4, 0.4, 0.2)",0.01,0.013395847287340924,0.05291359678499665,0.09310113864701942,0.04119223040857334
max,,,0.0,0.020763563295378432,0.050904219691895514,0.07702612190221031,0.04105827193569993
hybrid,3.0,"(0.3, 0.5, 0.2)",0.01,0.014735432016075016,0.050904219691895514,0.09109176155391828,0.04085733422638982
hybrid,10.0,"(0.3, 0.5, 0.2)",0.02,0.013395847287340924,0.0535833891493637,0.08774279973208306,0.04032150033489618
hybrid,10.0,"(0.6, 0.3, 0.1)",0.01,0.015405224380442064,0.047555257870060284,0.09042196918955124,0.04005358338914937
hybrid,5.0,"(0.5, 0.3, 0.2)",0.01,0.014735432016075016,0.04822505023442733,0.09109176155391828,0.04005358338914936
hybrid,3.0,"(0.4, 0.4, 0.2)",0.01,0.01406563965170797,0.05157401205626256,0.087073007367716,0.03991962491627596
hybrid,5.0,"(0.6, 0.3, 0.1)",0.005,0.014735432016075016,0.05023442732752847,0.087073007367716,0.039852645679839246
topk,5.0,,0.02,0.016744809109176157,0.04822505023442733,0.08037508372404555,0.038914936369725386
hybrid,5.0,"(0.4, 0.4, 0.2)",0.02,0.01808439383791025,0.04554588077695914,0.07970529135967849,0.038647019423978565
hybrid,3.0,"(0.5, 0.3, 0.2)",0.01,0.014735432016075016,0.04956463496316142,0.08171466845277964,0.03858004018754187
hybrid,3.0,"(0.6, 0.3, 0.1)",0.005,0.012726054922973878,0.050904219691895514,0.08439383791024782,0.038513060951105155
hybrid,10.0,"(0.3, 0.5, 0.2)",0.03,0.014735432016075016,0.05023442732752847,0.0783657066309444,0.03811118553248492
hybrid,5.0,"(0.3, 0.5, 0.2)",0.02,0.015405224380442064,0.046215673141326186,0.07903549899531145,0.03737441393168118
hybrid,10.0,"(0.4, 0.4, 0.2)",0.02,0.012726054922973878,0.05023442732752847,0.07903549899531145,0.03724045545880777
hybrid,5.0,"(0.6, 0.3, 0.1)",0.01,0.013395847287340924,0.047555257870060284,0.08037508372404555,0.03703951774949765
topk,3.0,,0.01,0.01406563965170797,0.04554588077695914,0.08037508372404555,0.03677160080375084
hybrid,5.0,"(0.3, 0.5, 0.2)",0.03,0.016075016744809108,0.046215673141326186,0.07300736771600803,0.03650368385800402
topk,5.0,,0.03,0.012726054922973878,0.046215673141326186,0.08037508372404555,0.0363027461486939
hybrid,5.0,"(0.4, 0.4, 0.2)",0.03,0.014735432016075016,0.048894842598794376,0.0709979906229069,0.0362357669122572
hybrid,5.0,"(0.6, 0.3, 0.1)",0.02,0.014735432016075016,0.04688546550569324,0.07367716008037509,0.0361687876758205
hybrid,10.0,"(0.5, 0.3, 0.2)",0.02,0.013395847287340924,0.044876088412592094,0.07970529135967849,0.03610180843938379
