retrieval,topk,weights,alpha,R@1,R@3,R@5,Score
hybrid,3.0,"(0.4, 0.4, 0.2)",0.01,0.03148024112525117,0.06697923643670463,0.10314802411252512,0.056463496316141996
hybrid,10.0,"(0.5, 0.3, 0.2)",0.0,0.02277294038847957,0.06831882116543872,0.10783657066309445,0.053449430676490294
topk,3.0,,0.0,0.02277294038847957,0.07032819825853985,0.10381781647689216,0.05324849296718018
hybrid,5.0,"(0.3, 0.5, 0.2)",0.0,0.024112525117213665,0.06764902880107167,0.10247823174815807,0.052846617548559946
hybrid,3.0,"(0.3, 0.5, 0.2)",0.0,0.02478231748158071,0.06697923643670463,0.10046885465505694,0.05257870060281313
hybrid,5.0,"(0.4, 0.4, 0.2)",0.01,0.02813127930341594,0.061620897521768254,0.09778968519758875,0.052109845947756195
hybrid,5.0,"(0.4, 0.4, 0.2)",0.0,0.022103148024112524,0.06496985934360348,0.10314802411252512,0.051172136637642335
hybrid,3.0,"(0.3, 0.5, 0.2)",0.01,0.027461486939048894,0.061620897521768254,0.09243134628265237,0.050703281982585405
prototype,,,0.005,0.02344273275284662,0.06095110515740121,0.10247823174815807,0.05050234427327528
hybrid,3.0,"(0.4, 0.4, 0.2)",0.0,0.02344273275284662,0.0622906898861353,0.09845947756195579,0.05010046885465506
hybrid,5.0,"(0.5, 0.3, 0.2)",0.0,0.020093770931011386,0.06496985934360348,0.10247823174815807,0.05003348961821835
hybrid,10.0,"(0.6, 0.3, 0.1)",0.0,0.01942397856664434,0.06430006697923643,0.10515740120562625,0.05003348961821835
hybrid,3.0,"(0.5, 0.3, 0.2)",0.0,0.020093770931011386,0.05961152042866711,0.10113864701942397,0.04815807099799062
max,,,0.01,0.025452109845947757,0.05626255860683188,0.0884125920964501,0.04728734092431346
hybrid,3.0,"(0.6, 0.3, 0.1)",0.0,0.01942397856664434,0.05961152042866711,0.09511051574012057,0.04661754855994642
hybrid,5.0,"(0.6, 0.3, 0.1)",0.0,0.017414601473543203,0.058941728064300064,0.09511051574012057,0.045411922304085736
hybrid,10.0,"(0.6, 0.3, 0.1)",0.01,0.018754186202277295,0.05760214333556597,0.09310113864701942,0.045277963831212326
hybrid,5.0,"(0.3, 0.5, 0.2)",0.01,0.022103148024112524,0.05291359678499665,0.08774279973208306,0.044474212993971876
hybrid,10.0,"(0.5, 0.3, 0.2)",0.01,0.016075016744809108,0.05626255860683188,0.09444072337575352,0.04380442062960482
max,,,0.0,0.015405224380442064,0.050904219691895514,0.08975217682518419,0.040924313462826524
prototype,,,0.0,0.01406563965170797,0.047555257870060284,0.07970529135967849,0.037240455458807775
topk,10.0,,0.02,0.008707300736771601,0.05157401205626256,0.08171466845277964,0.0361687876758205
hybrid,10.0,"(0.4, 0.4, 0.2)",0.01,0.012726054922973878,0.042866711319490956,0.07903549899531145,0.03503014065639652
hybrid,3.0,"(0.6, 0.3, 0.1)",0.005,0.01406563965170797,0.041527126590756865,0.07702612190221031,0.034896182183523104
hybrid,10.0,"(0.6, 0.3, 0.1)",0.005,0.012726054922973878,0.042866711319490956,0.07501674480910918,0.034226389819156065
hybrid,5.0,"(0.6, 0.3, 0.1)",0.005,0.013395847287340924,0.04219691895512391,0.07166778298727394,0.03369055592766242
hybrid,3.0,"(0.5, 0.3, 0.2)",0.005,0.013395847287340924,0.03951774949765573,0.07300736771600803,0.03315472203616879
hybrid,10.0,"(0.3, 0.5, 0.2)",0.005,0.012726054922973878,0.03951774949765573,0.072337575351641,0.03268586738111186
hybrid,10.0,"(0.3, 0.5, 0.2)",0.01,0.013395847287340924,0.03951774949765573,0.06898861352980576,0.03235097119892834
hybrid,10.0,"(0.4, 0.4, 0.2)",0.005,0.012056262558606833,0.04085733422638982,0.07032819825853985,0.03235097119892833
hybrid,5.0,"(0.5, 0.3, 0.2)",0.005,0.010716677829872739,0.04219691895512391,0.06898861352980576,0.031815137307434696
topk,3.0,,0.01,0.009377093101138647,0.03951774949765573,0.07568653717347622,0.031681178834561285
hybrid,10.0,"(0.5, 0.3, 0.2)",0.005,0.013395847287340924,0.03549899531145345,0.07166778298727394,0.031681178834561285
hybrid,3.0,"(0.4, 0.4, 0.2)",0.005,0.012726054922973878,0.03884795713328868,0.06563965170797052,0.03114534494306765
hybrid,5.0,"(0.4, 0.4, 0.2)",0.005,0.012056262558606833,0.0361687876758205,0.06831882116543872,0.03054253181513731
max,,,0.005,0.013395847287340924,0.03549899531145345,0.061620897521768254,0.029671801741460148
topk,3.0,,0.005,0.010716677829872739,0.038178164768921635,0.06363027461486939,0.029537843268586737
hybrid,3.0,"(0.3, 0.5, 0.2)",0.005,0.012056262558606833,0.0361687876758205,0.06296048225050234,0.029470864032150032
topk,10.0,,0.005,0.010716677829872739,0.03549899531145345,0.06697923643670463,0.029403884795713334
topk,5.0,,0.01,0.009377093101138647,0.03884795713328868,0.06430006697923643,0.029202947086403218
hybrid,5.0,"(0.3, 0.5, 0.2)",0.005,0.010716677829872739,0.033489618218352314,0.06496985934360348,0.02839919624916276
topk,5.0,,0.005,0.009377093101138647,0.03549899531145345,0.06363027461486939,0.02806430006697924
topk,10.0,,0.01,0.007367716008037508,0.034829202947086406,0.06363027461486939,0.026858673811118554
