model,grouping,group,n,pred_ships,true_ships,pred_gallery_count_mean,pred_ship_max_day_fraction_mean,pred_majority_global_fraction_mean,hit1,hit3,hit5,Score
quick_target100_trainonly_mel96_f16000,pred_ship_concentration_bin,<=25%,47,16,30,57.08510638297872,0.18119586855557362,0.17047477908317246,0.0,0.0425531914893617,0.06382978723404255,0.02553191489361702
quick_target100_trainonly_mel96_f16000,pred_ship_concentration_bin,>75%,1190,9,100,10.98235294117647,0.9929491796718688,0.17315400338993842,0.07983193277310924,0.11092436974789915,0.13109243697478992,0.09941176470588235
robust_rows100_seed123_ep2_aug,pred_ship_concentration_bin,25-50%,381,24,72,88.31758530183727,0.3632627782461258,0.17821067832507198,0.05774278215223097,0.10236220472440945,0.15485564304461943,0.09055118110236221
robust_rows100_seed123_ep2_aug,pred_ship_concentration_bin,50-75%,167,7,69,81.39520958083833,0.5984981960879782,0.17509474053413895,0.023952095808383235,0.059880239520958084,0.12574850299401197,0.055089820359281436
robust_rows100_seed123_ep2_aug,pred_ship_concentration_bin,<=25%,912,17,92,332.23026315789474,0.12569894463401454,0.05943384919441844,0.047149122807017545,0.09320175438596491,0.12828947368421054,0.07719298245614035
robust_rows100_seed123_ep2_aug,pred_ship_concentration_bin,>75%,33,4,25,34.15151515151515,0.9601494396014945,0.17555622256121042,0.0,0.06060606060606061,0.15151515151515152,0.048484848484848485
debug_ensemble_5normal,pred_global_spike_bin,10-20%,1193,17,100,10.538977367979882,0.9747043283400929,0.1568676652664528,0.08298407376362113,0.11232187761944677,0.13243922883487008,0.10167644593461861
debug_ensemble_5normal,pred_global_spike_bin,20-50%,156,5,46,15.448717948717949,0.948255149868053,0.2633140384336556,0.05128205128205128,0.1794871794871795,0.2692307692307692,0.13333333333333333
debug_ensemble_5normal,pred_global_spike_bin,<=10%,131,26,55,31.389312977099237,0.5056941148791922,0.047780859848683827,0.015267175572519083,0.061068702290076333,0.06870229007633588,0.03969465648854961
debug_ensemble_5normal,pred_global_spike_bin,>50%,13,5,10,49.76923076923077,0.3066646191646191,0.6658595641646488,0.0,0.15384615384615385,0.15384615384615385,0.07692307692307693
projection_clip_trainonly,pred_global_spike_bin,10-20%,1095,18,100,14.397260273972602,0.9259570907853532,0.15997513012682724,0.0867579908675799,0.1004566210045662,0.12054794520547946,0.09762557077625571
projection_clip_trainonly,pred_global_spike_bin,20-50%,182,5,76,24.478021978021978,0.9648446791303935,0.2573765946971688,0.03296703296703297,0.10989010989010989,0.15384615384615385,0.08021978021978023
projection_clip_trainonly,pred_global_spike_bin,<=10%,196,19,60,36.87244897959184,0.5144987430086881,0.050510853278017465,0.03571428571428571,0.08673469387755102,0.1683673469387755,0.07755102040816327
projection_clip_trainonly,pred_global_spike_bin,>50%,20,5,15,59.4,0.3341121751249161,0.6659717583702095,0.1,0.1,0.1,0.1
quick_target100_mel96_f16000,pred_global_spike_bin,10-20%,1219,25,100,10.208367514356029,0.963672909427513,0.15426556163184865,0.0771123872026251,0.12223133716160788,0.1443806398687449,0.1041017227235439
quick_target100_mel96_f16000,pred_global_spike_bin,20-50%,109,5,55,23.55045871559633,0.9095111261432659,0.2400944167986878,0.01834862385321101,0.07339449541284404,0.10091743119266056,0.05137614678899083
quick_target100_mel96_f16000,pred_global_spike_bin,<=10%,139,35,65,43.20863309352518,0.4087367271261361,0.04697650613246484,0.02158273381294964,0.05755395683453238,0.09352517985611511,0.046762589928057555
quick_target100_mel96_f16000,pred_global_spike_bin,>50%,26,7,22,50.76923076923077,0.3226591332364507,0.6659458673996956,0.0,0.038461538461538464,0.07692307692307693,0.026923076923076925
quick_target100_trainonly_mel96_f16000,pred_global_spike_bin,10-20%,1027,25,100,12.847127555988315,0.9483041206698458,0.15949527571504044,0.08471275559883155,0.11002921129503408,0.12755598831548198,0.1008763388510224
quick_target100_trainonly_mel96_f16000,pred_global_spike_bin,20-50%,229,6,70,17.397379912663755,0.9363424761368133,0.25376217292019365,0.03056768558951965,0.10480349344978165,0.13973799126637554,0.07467248908296943
quick_target100_trainonly_mel96_f16000,pred_global_spike_bin,<=10%,227,35,71,34.21145374449339,0.4886773768305092,0.04846598110328692,0.013215859030837005,0.04405286343612335,0.08370044052863436,0.03656387665198238
quick_target100_trainonly_mel96_f16000,pred_global_spike_bin,>50%,10,5,10,61.8,0.2805041454497976,0.6658595641646489,0.0,0.0,0.0,0.0
robust_rows100_seed123_ep2_aug,pred_global_spike_bin,10-20%,351,16,86,90.64102564102564,0.45834560544820396,0.15537422890844574,0.042735042735042736,0.09686609686609686,0.1339031339031339,0.07720797720797722
robust_rows100_seed123_ep2_aug,pred_global_spike_bin,20-50%,64,3,24,62.484375,0.6221590909090909,0.2704028925619834,0.046875,0.078125,0.203125,0.0875
robust_rows100_seed123_ep2_aug,pred_global_spike_bin,<=10%,1026,28,99,303.07797270955166,0.16488554478076092,0.049361205056790175,0.049707602339181284,0.08771929824561403,0.1286549707602339,0.07690058479532164
robust_rows100_seed123_ep2_aug,pred_global_spike_bin,>50%,52,5,30,88.28846153846153,0.284704384537976,0.6663342319574055,0.0,0.1346153846153846,0.19230769230769232,0.07884615384615384
debug_ensemble_5normal,pred_gallery_count_bin,Q1_low_count,1408,22,100,10.980823863636363,0.9575025135273133,0.16120180784190355,0.07599431818181818,0.11860795454545454,0.14630681818181818,0.1028409090909091
debug_ensemble_5normal,pred_gallery_count_bin,Q2,64,18,47,44.1875,0.41843653622510857,0.15460150489306945,0.03125,0.0625,0.0625,0.046875
debug_ensemble_5normal,pred_gallery_count_bin,Q3,18,10,16,63.111111111111114,0.2868968955143733,0.3225291802301957,0.0,0.05555555555555555,0.05555555555555555,0.027777777777777776
debug_ensemble_5normal,pred_gallery_count_bin,Q4_high_count,3,3,3,105.66666666666667,0.2916715677795076,0.15447154471544713,0.0,0.0,0.0,0.0
projection_clip_trainonly,pred_gallery_count_bin,Q1_low_count,1265,20,100,12.699604743083004,0.9306099110216455,0.15845125036074462,0.07905138339920949,0.10513833992094862,0.13359683794466404,0.09778656126482214
projection_clip_trainonly,pred_gallery_count_bin,Q2,120,10,45,42.4,0.6552812682652909,0.19399401918008824,0.025,0.075,0.125,0.060000000000000005
projection_clip_trainonly,pred_gallery_count_bin,Q3,89,11,46,63.38202247191011,0.40103047723478447,0.20949068505742321,0.06741573033707865,0.06741573033707865,0.10112359550561797,0.07415730337078652
projection_clip_trainonly,pred_gallery_count_bin,Q4_high_count,19,6,15,96.89473684210526,0.2895653176727568,0.15105711345225975,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.0631578947368421
quick_target100_mel96_f16000,pred_gallery_count_bin,Q1_low_count,1343,24,100,10.170513775130305,0.9551856639860095,0.1552395284533947,0.07073715562174236,0.11615785554728221,0.13924050632911392,0.09806403574087862
quick_target100_mel96_f16000,pred_gallery_count_bin,Q2,95,21,53,43.63157894736842,0.4049663005961332,0.18687630940754182,0.021052631578947368,0.06315789473684211,0.07368421052631578,0.04421052631578948
quick_target100_mel96_f16000,pred_gallery_count_bin,Q3,39,17,30,62.58974358974359,0.34403349867497696,0.24320223371319963,0.0,0.02564102564102564,0.07692307692307693,0.023076923076923078
quick_target100_mel96_f16000,pred_gallery_count_bin,Q4_high_count,16,10,13,130.75,0.27213000864172326,0.14621967147780368,0.125,0.1875,0.3125,0.18125
quick_target100_trainonly_mel96_f16000,pred_gallery_count_bin,Q1_low_count,1357,24,100,13.067796610169491,0.9224537546761525,0.16078171214909956,0.07148120854826824,0.10464259395725865,0.12822402358142962,0.09277818717759764
quick_target100_trainonly_mel96_f16000,pred_gallery_count_bin,Q2,83,23,49,44.01204819277108,0.415017099131495,0.14304961700163626,0.0,0.024096385542168676,0.03614457831325301,0.014457831325301205
quick_target100_trainonly_mel96_f16000,pred_gallery_count_bin,Q3,39,14,25,66.41025641025641,0.3117387257604697,0.18406163857430363,0.0,0.02564102564102564,0.07692307692307693,0.023076923076923078
quick_target100_trainonly_mel96_f16000,pred_gallery_count_bin,Q4_high_count,14,10,12,113.28571428571429,0.2636850235838463,0.16723240059298,0.0,0.14285714285714285,0.14285714285714285,0.07142857142857142
robust_rows100_seed123_ep2_aug,pred_gallery_count_bin,Q1_low_count,30,6,17,16.6,0.7946697519587544,0.1184879560572465,0.0,0.06666666666666667,0.23333333333333334,0.06666666666666667
robust_rows100_seed123_ep2_aug,pred_gallery_count_bin,Q2,58,6,31,49.258620689655174,0.4812811596787256,0.13814169424671288,0.034482758620689655,0.034482758620689655,0.1206896551724138,0.05172413793103449
robust_rows100_seed123_ep2_aug,pred_gallery_count_bin,Q3,222,16,57,68.24774774774775,0.44763918281725207,0.17450118421282484,0.04054054054054054,0.07207207207207207,0.14864864864864866,0.07162162162162163
robust_rows100_seed123_ep2_aug,pred_gallery_count_bin,Q4_high_count,1183,24,99,281.36686390532543,0.19741706497546763,0.09030430775791153,0.04902789518174133,0.09805579036348266,0.13102282333051563,0.0801352493660186
