model,ship_id,val_rows,R1,R3,R5,gallery_count,ship_max_day_fraction,ship_top3_day_fraction,majority_date_global_fraction,ship_concentration_bin,global_spike_bin,gallery_count_bin,Score
debug_ensemble_5normal,140,8,0.0,0.0,0.0,45,0.28888888888888886,0.7111111111111111,0.1706239646604086,25-50%,10-20%,Q2,0.0
debug_ensemble_5normal,143,21,0.0,0.0,0.0,133,0.21052631578947367,0.45864661654135336,0.05135284373274434,<=25%,<=10%,Q4_high_count,0.0
debug_ensemble_5normal,146,11,0.0,0.0,0.09090909090909091,40,0.575,1.0,0.15570672713529857,50-75%,10-20%,Q2,0.018181818181818184
debug_ensemble_5normal,148,7,0.0,0.0,0.0,38,0.3157894736842105,0.8421052631578947,0.17073170731707318,25-50%,10-20%,Q2,0.0
debug_ensemble_5normal,153,20,0.0,0.05,0.3,29,1.0,1.0,0.06478658536585366,>75%,<=10%,Q1_low_count,0.075
debug_ensemble_5normal,154,14,0.0,0.0,0.0,50,0.38,0.92,0.17355371900826447,25-50%,10-20%,Q2,0.0
debug_ensemble_5normal,155,28,0.0,0.0,0.0,181,0.09392265193370165,0.27624309392265195,0.06651884700665188,<=25%,<=10%,Q4_high_count,0.0
debug_ensemble_5normal,159,14,0.0,0.0,0.0,49,0.5510204081632653,1.0,0.1524122807017544,50-75%,10-20%,Q2,0.0
debug_ensemble_5normal,163,26,0.0,0.0,0.0,139,0.33093525179856115,0.6762589928057554,0.05245720596355605,25-50%,<=10%,Q4_high_count,0.0
debug_ensemble_5normal,170,14,0.07142857142857142,0.14285714285714285,0.14285714285714285,48,0.4166666666666667,0.8958333333333334,0.1706239646604086,25-50%,10-20%,Q2,0.10714285714285714
debug_ensemble_5normal,172,14,0.0,0.0,0.0,78,0.6666666666666666,1.0,0.1706239646604086,50-75%,10-20%,Q3,0.0
debug_ensemble_5normal,173,10,0.0,0.0,0.0,64,0.234375,0.59375,0.6658595641646489,<=25%,>50%,Q3,0.0
debug_ensemble_5normal,178,14,0.0,0.0,0.0,69,0.2753623188405797,0.7681159420289855,0.6658595641646489,25-50%,>50%,Q3,0.0
debug_ensemble_5normal,184,13,0.0,0.0,0.0,51,0.39215686274509803,0.9803921568627451,0.03552532123960695,25-50%,<=10%,Q3,0.0
debug_ensemble_5normal,186,6,0.0,0.0,0.0,31,0.41935483870967744,0.9354838709677419,0.22807017543859648,25-50%,20-50%,Q1_low_count,0.0
debug_ensemble_5normal,189,13,0.0,0.0,0.0,41,0.4146341463414634,1.0,0.1524122807017544,25-50%,10-20%,Q2,0.0
debug_ensemble_5normal,190,6,0.0,0.0,0.16666666666666666,31,0.22580645161290322,0.5483870967741935,0.03325774754346183,<=25%,<=10%,Q1_low_count,0.03333333333333333
debug_ensemble_5normal,191,7,0.0,0.0,0.0,46,0.45652173913043476,0.9565217391304348,0.1706239646604086,25-50%,10-20%,Q2,0.0
debug_ensemble_5normal,192,6,0.0,0.0,0.16666666666666666,34,0.2647058823529412,0.6470588235294118,0.15570672713529857,25-50%,10-20%,Q1_low_count,0.03333333333333333
debug_ensemble_5normal,195,8,0.0,0.0,0.0,52,0.5384615384615384,0.9423076923076923,0.15570672713529857,50-75%,10-20%,Q3,0.0
debug_ensemble_5normal,196,18,0.0,0.1111111111111111,0.1111111111111111,48,0.5,1.0,0.17073170731707318,25-50%,10-20%,Q2,0.05555555555555555
debug_ensemble_5normal,201,46,0.0,0.0,0.0,100,0.66,1.0,0.16228070175438597,50-75%,10-20%,Q4_high_count,0.0
debug_ensemble_5normal,202,10,0.0,0.0,0.0,48,0.5625,1.0,0.042682926829268296,50-75%,<=10%,Q2,0.0
debug_ensemble_5normal,206,13,0.0,0.0,0.0,94,0.30851063829787234,0.7446808510638298,0.125,25-50%,10-20%,Q4_high_count,0.0
debug_ensemble_5normal,208,7,0.0,0.0,0.0,37,0.16216216216216217,0.4864864864864865,0.1706239646604086,<=25%,10-20%,Q2,0.0
debug_ensemble_5normal,212,12,0.0,0.0,0.0,49,0.42857142857142855,0.7959183673469388,0.036443953616786304,25-50%,<=10%,Q2,0.0
