model,date_basis,date,n,pred_top1_ships,true_ships,gallery_day_count,gallery_day_fraction,pred_gallery_count_mean,pred_ship_max_day_fraction_mean,hit1,hit3,hit5,Score
debug_ensemble_5normal,pred_top1_majority_date,2021-02-12,17,2,17,139.0,0.1524122807017544,43.35294117647059,0.4547477527596404,0.0,0.0,0.0,0.0
debug_ensemble_5normal,pred_top1_majority_date,2021-02-14,991,1,85,148.0,0.1622807017543859,9.0,1.0,0.09182643794147326,0.1099899091826438,0.12108980827447023,0.10312815338042382
projection_clip_trainonly,pred_top1_majority_date,2020-07-24,10,1,9,21.0,0.0867768595041322,57.0,0.3684210526315789,0.2,0.2,0.2,0.2
projection_clip_trainonly,pred_top1_majority_date,2020-07-27,53,2,26,69.0,0.2851239669421487,35.490566037735846,1.0,0.018867924528301886,0.11320754716981132,0.18867924528301888,0.08113207547169812
projection_clip_trainonly,pred_top1_majority_date,2020-07-29,27,1,21,28.0,0.11570247933884291,14.0,1.0,0.037037037037037035,0.1111111111111111,0.18518518518518517,0.08888888888888888
projection_clip_trainonly,pred_top1_majority_date,2020-07-30,5,1,5,42.0,0.1735537190082644,50.0,0.38,0.0,0.0,0.2,0.04000000000000001
projection_clip_trainonly,pred_top1_majority_date,2020-07-31,57,2,23,65.0,0.268595041322314,18.63157894736842,0.947900053163211,0.07017543859649122,0.15789473684210525,0.19298245614035087,0.12105263157894736
projection_clip_trainonly,pred_top1_majority_date,2020-08-01,46,3,25,74.0,0.0564024390243902,46.73913043478261,0.6105590062111801,0.021739130434782608,0.06521739130434782,0.13043478260869565,0.05652173913043478
projection_clip_trainonly,pred_top1_majority_date,2020-08-03,7,1,4,27.0,0.0205792682926829,23.0,0.5652173913043478,0.0,0.0,0.0,0.0
projection_clip_trainonly,pred_top1_majority_date,2020-08-04,11,1,9,17.0,0.0129573170731707,34.0,0.4117647058823529,0.0,0.0,0.36363636363636365,0.07272727272727274
projection_clip_trainonly,pred_top1_majority_date,2020-08-05,8,1,6,25.0,0.0190548780487804,42.0,0.5952380952380952,0.0,0.125,0.25,0.0875
projection_clip_trainonly,pred_top1_majority_date,2020-08-11,6,2,6,56.0,0.0426829268292682,45.0,0.5032051282051282,0.0,0.0,0.0,0.0
projection_clip_trainonly,pred_top1_majority_date,2020-08-13,35,1,20,49.0,0.0373475609756097,28.0,0.3571428571428571,0.0,0.05714285714285714,0.22857142857142856,0.06285714285714286
