model,date_basis,date,n,pred_top1_ships,true_ships,gallery_day_count,gallery_day_fraction,true_gallery_count_mean,true_ship_max_day_fraction_mean,hit1,hit3,hit5,Score
debug_ensemble_5normal,true_ship_majority_date,2020-12-04,86,16,7,309.0,0.1706239646604086,70.62790697674419,0.47102385335111413,0.011627906976744186,0.023255813953488372,0.023255813953488372,0.01744186046511628
debug_ensemble_5normal,true_ship_majority_date,2020-12-05,28,6,1,107.0,0.0590833793484262,51.0,0.627450980392157,0.0,0.0,0.03571428571428571,0.007142857142857143
debug_ensemble_5normal,true_ship_majority_date,2020-12-06,8,3,1,33.0,0.0182219768083931,52.0,0.173076923076923,0.0,0.0,0.0,0.0
debug_ensemble_5normal,true_ship_majority_date,2020-12-11,22,9,1,36.0,0.0198785201546107,166.0,0.1265060240963855,0.0,0.0,0.0,0.0
debug_ensemble_5normal,true_ship_majority_date,2020-12-17,7,2,1,63.0,0.0347874102705687,38.0,0.2631578947368421,0.0,0.0,0.0,0.0
debug_ensemble_5normal,true_ship_majority_date,2020-12-18,10,1,1,44.0,0.0242959690778575,65.0,0.2307692307692307,0.0,0.0,0.0,0.0
debug_ensemble_5normal,true_ship_majority_date,2020-12-19,6,1,1,32.0,0.0176697956929873,43.0,0.1395348837209302,0.0,0.0,0.0,0.0
debug_ensemble_5normal,true_ship_majority_date,2020-12-20,8,4,1,57.0,0.0314743235781336,45.0,0.2888888888888888,0.0,0.0,0.0,0.0
debug_ensemble_5normal,true_ship_majority_date,2020-12-21,26,7,1,95.0,0.052457205963556,139.0,0.3309352517985611,0.0,0.0,0.0,0.0
debug_ensemble_5normal,true_ship_majority_date,2020-12-22,23,1,1,59.0,0.0325786858089453,155.0,0.1290322580645161,0.0,0.0,0.0,0.0
debug_ensemble_5normal,true_ship_majority_date,2020-12-26,66,6,1,80.0,0.0441744892324682,422.0,0.1090047393364928,0.0,0.0,0.0,0.0
debug_ensemble_5normal,true_ship_majority_date,2020-12-27,5,2,1,80.0,0.0441744892324682,34.0,0.1470588235294117,0.0,0.0,0.4,0.08000000000000002
debug_ensemble_5normal,true_ship_majority_date,2020-12-28,22,1,2,66.0,0.0364439536167863,55.36363636363637,0.3852813852813852,0.0,0.0,0.0,0.0
debug_ensemble_5normal,true_ship_majority_date,2020-12-29,40,4,2,93.0,0.051352843732744305,109.725,0.2010025062656641,0.0,0.0,0.0,0.0
debug_ensemble_5normal,true_ship_majority_date,2021-01-02,6,1,1,28.0,0.021164021164021097,43.0,0.3023255813953488,0.0,0.0,0.0,0.0
debug_ensemble_5normal,true_ship_majority_date,2021-01-04,11,5,1,36.0,0.027210884353741402,36.0,0.3888888888888889,0.0,0.0,0.0,0.0
