model,R@1,R@3,R@5,Score
quick_target100_mel96_f16000,0.06630944407233758,0.11118553248492967,0.13529805760214333,0.09356999330207635
quick_target100_trainonly_mel96_f16000,0.06496985934360348,0.09845947756195579,0.12190221031480242,0.08640321500334897
projection_clip_trainonly,0.07367716008037509,0.09979906229068988,0.130609511051574,0.09290020093770932
robust_rows100_seed123_ep2_aug,0.046215673141326186,0.09109176155391828,0.13529805760214333,0.07749497655726725
debug_ensemble_5normal,0.07300736771600803,0.11520428667113194,0.14132618888144674,0.09933020763563295
