model,grouping,group,n,ships,gallery_count_mean,ship_max_day_fraction_mean,majority_global_fraction_mean,R1,R3,R5,Score
projection_clip_trainonly,global_spike_bin,10-20%,549,31,56.73952641165756,0.6003263181720633,0.15463877225189204,0.17304189435336975,0.18214936247723132,0.19672131147540983,0.18051001821493626
projection_clip_trainonly,global_spike_bin,20-50%,95,7,29.68421052631579,0.8364878471839422,0.25822927945264035,0.06315789473684211,0.22105263157894736,0.3157894736842105,0.16105263157894736
projection_clip_trainonly,global_spike_bin,>50%,115,9,74.81739130434782,0.3112015466176905,0.6663473650583909,0.017391304347826087,0.017391304347826087,0.043478260869565216,0.02260869565217391
quick_target100_mel96_f16000,global_spike_bin,<=10%,734,53,116.52588555858311,0.3050655419241956,0.048393517417699344,0.004087193460490463,0.010899182561307902,0.04223433242506812,0.013760217983651225
quick_target100_mel96_f16000,global_spike_bin,10-20%,549,31,56.73952641165756,0.6003263181720633,0.15463877225189204,0.17122040072859745,0.22404371584699453,0.23497267759562843,0.19981785063752278
quick_target100_mel96_f16000,global_spike_bin,20-50%,95,7,29.68421052631579,0.8364878471839422,0.25822927945264035,0.021052631578947368,0.3684210526315789,0.4105263157894737,0.2031578947368421
quick_target100_mel96_f16000,global_spike_bin,>50%,115,9,74.81739130434782,0.3112015466176905,0.6663473650583909,0.0,0.0,0.02608695652173913,0.0052173913043478265
quick_target100_trainonly_mel96_f16000,global_spike_bin,<=10%,734,53,116.52588555858311,0.3050655419241956,0.048393517417699344,0.004087193460490463,0.03678474114441417,0.05994550408719346,0.025068119891008173
quick_target100_trainonly_mel96_f16000,global_spike_bin,10-20%,549,31,56.73952641165756,0.6003263181720633,0.15463877225189204,0.15846994535519127,0.1785063752276867,0.1930783242258652,0.1714025500910747
quick_target100_trainonly_mel96_f16000,global_spike_bin,20-50%,95,7,29.68421052631579,0.8364878471839422,0.25822927945264035,0.07368421052631578,0.21052631578947367,0.28421052631578947,0.15684210526315787
quick_target100_trainonly_mel96_f16000,global_spike_bin,>50%,115,9,74.81739130434782,0.3112015466176905,0.6663473650583909,0.0,0.017391304347826087,0.043478260869565216,0.013913043478260868
robust_rows100_seed123_ep2_aug,global_spike_bin,<=10%,734,53,116.52588555858311,0.3050655419241956,0.048393517417699344,0.06948228882833787,0.13760217983651227,0.20708446866485014,0.11743869209809264
robust_rows100_seed123_ep2_aug,global_spike_bin,10-20%,549,31,56.73952641165756,0.6003263181720633,0.15463877225189204,0.0273224043715847,0.04553734061930783,0.060109289617486336,0.039344262295081964
robust_rows100_seed123_ep2_aug,global_spike_bin,20-50%,95,7,29.68421052631579,0.8364878471839422,0.25822927945264035,0.031578947368421054,0.06315789473684211,0.10526315789473684,0.05578947368421053
robust_rows100_seed123_ep2_aug,global_spike_bin,>50%,115,9,74.81739130434782,0.3112015466176905,0.6663473650583909,0.0,0.034782608695652174,0.06086956521739131,0.022608695652173914
debug_ensemble_5normal,gallery_count_bin,Q1_low_count,375,25,18.912,0.7810398288795452,0.1416661160591258,0.2853333333333333,0.44,0.5333333333333333,0.38133333333333336
debug_ensemble_5normal,gallery_count_bin,Q2,266,25,44.59398496240601,0.45123930516079436,0.14634334117229786,0.007518796992481203,0.018796992481203006,0.02631578947368421,0.014661654135338344
debug_ensemble_5normal,gallery_count_bin,Q3,306,25,66.00653594771242,0.377677845123603,0.16550145277368364,0.0,0.0,0.0,0.0
debug_ensemble_5normal,gallery_count_bin,Q4_high_count,546,25,162.91575091575092,0.25689151681668143,0.14447562171766523,0.0,0.003663003663003663,0.007326007326007326,0.002564102564102564
projection_clip_trainonly,gallery_count_bin,Q1_low_count,375,25,18.912,0.7810398288795452,0.1416661160591258,0.26666666666666666,0.336,0.41333333333333333,0.31679999999999997
projection_clip_trainonly,gallery_count_bin,Q2,266,25,44.59398496240601,0.45123930516079436,0.14634334117229786,0.011278195488721804,0.041353383458646614,0.08270676691729323,0.034586466165413526
projection_clip_trainonly,gallery_count_bin,Q3,306,25,66.00653594771242,0.377677845123603,0.16550145277368364,0.0196078431372549,0.03594771241830065,0.049019607843137254,0.030392156862745094
projection_clip_trainonly,gallery_count_bin,Q4_high_count,546,25,162.91575091575092,0.25689151681668143,0.14447562171766523,0.0018315018315018315,0.0018315018315018315,0.005494505494505495,0.0025641025641025645
quick_target100_mel96_f16000,gallery_count_bin,Q1_low_count,375,25,18.912,0.7810398288795452,0.1416661160591258,0.25333333333333335,0.42133333333333334,0.5013333333333333,0.35333333333333333
quick_target100_mel96_f16000,gallery_count_bin,Q2,266,25,44.59398496240601,0.45123930516079436,0.14634334117229786,0.007518796992481203,0.011278195488721804,0.022556390977443608,0.011654135338345865
quick_target100_mel96_f16000,gallery_count_bin,Q3,306,25,66.00653594771242,0.377677845123603,0.16550145277368364,0.0,0.0032679738562091504,0.0032679738562091504,0.0016339869281045752
quick_target100_mel96_f16000,gallery_count_bin,Q4_high_count,546,25,162.91575091575092,0.25689151681668143,0.14447562171766523,0.003663003663003663,0.007326007326007326,0.01282051282051282,0.0065934065934065925
quick_target100_trainonly_mel96_f16000,gallery_count_bin,Q1_low_count,375,25,18.912,0.7810398288795452,0.1416661160591258,0.25866666666666666,0.37066666666666664,0.44266666666666665,0.3290666666666667
quick_target100_trainonly_mel96_f16000,gallery_count_bin,Q2,266,25,44.59398496240601,0.45123930516079436,0.14634334117229786,0.0,0.011278195488721804,0.02631578947368421,0.008646616541353383
quick_target100_trainonly_mel96_f16000,gallery_count_bin,Q3,306,25,66.00653594771242,0.377677845123603,0.16550145277368364,0.0,0.0032679738562091504,0.00980392156862745,0.0029411764705882353
quick_target100_trainonly_mel96_f16000,gallery_count_bin,Q4_high_count,546,25,162.91575091575092,0.25689151681668143,0.14447562171766523,0.0,0.007326007326007326,0.01098901098901099,0.004395604395604396
robust_rows100_seed123_ep2_aug,gallery_count_bin,Q1_low_count,375,25,18.912,0.7810398288795452,0.1416661160591258,0.0,0.005333333333333333,0.021333333333333333,0.005866666666666667
robust_rows100_seed123_ep2_aug,gallery_count_bin,Q2,266,25,44.59398496240601,0.45123930516079436,0.14634334117229786,0.007518796992481203,0.03383458646616541,0.05639097744360902,0.02518796992481203
robust_rows100_seed123_ep2_aug,gallery_count_bin,Q3,306,25,66.00653594771242,0.377677845123603,0.16550145277368364,0.029411764705882353,0.06535947712418301,0.10784313725490197,0.05588235294117648
robust_rows100_seed123_ep2_aug,gallery_count_bin,Q4_high_count,546,25,162.91575091575092,0.25689151681668143,0.14447562171766523,0.10622710622710622,0.19230769230769232,0.2673992673992674,0.16428571428571428
