retrieval,topk,weights,alpha,R@1,R@3,R@5,Score
max,,,0.02,0.011386470194239785,0.0622906898861353,0.0884125920964501,0.0420629604822505
hybrid,3.0,"(0.4, 0.4, 0.2)",0.02,0.016075016744809108,0.05827193569993302,0.08238446081714669,0.0419959812458138
topk,5.0,,0.02,0.009377093101138647,0.061620897521768254,0.09377093101138648,0.0419290020093771
hybrid,5.0,"(0.5, 0.3, 0.2)",0.03,0.01406563965170797,0.05961152042866711,0.08506363027461487,0.04192900200937709
hybrid,5.0,"(0.4, 0.4, 0.2)",0.0,0.015405224380442064,0.052243804420629605,0.09243134628265237,0.041862022772940384
hybrid,3.0,"(0.5, 0.3, 0.2)",0.02,0.017414601473543203,0.05425318151373074,0.08372404554588078,0.04172806430006698
hybrid,3.0,"(0.4, 0.4, 0.2)",0.0,0.015405224380442064,0.05157401205626256,0.09176155391828533,0.041527126590756865
hybrid,10.0,"(0.5, 0.3, 0.2)",0.03,0.017414601473543203,0.05425318151373074,0.08238446081714669,0.041460147354320166
hybrid,3.0,"(0.6, 0.3, 0.1)",0.02,0.017414601473543203,0.055592766242464835,0.07970529135967849,0.04132618888144675
hybrid,10.0,"(0.3, 0.5, 0.2)",0.03,0.015405224380442064,0.056932350971198926,0.08238446081714669,0.04125920964501005
hybrid,3.0,"(0.6, 0.3, 0.1)",0.03,0.015405224380442064,0.055592766242464835,0.08372404554588078,0.04112525117213664
hybrid,5.0,"(0.5, 0.3, 0.2)",0.02,0.016744809109176157,0.05425318151373074,0.08171466845277964,0.04099129269926323
hybrid,5.0,"(0.4, 0.4, 0.2)",0.02,0.014735432016075016,0.056932350971198926,0.08238446081714669,0.040924313462826524
hybrid,10.0,"(0.5, 0.3, 0.2)",0.0,0.014735432016075016,0.05157401205626256,0.08975217682518419,0.04079035498995311
hybrid,3.0,"(0.3, 0.5, 0.2)",0.01,0.01406563965170797,0.0535833891493637,0.087073007367716,0.0405224380442063
hybrid,10.0,"(0.4, 0.4, 0.2)",0.02,0.012726054922973878,0.058941728064300064,0.08238446081714669,0.0405224380442063
hybrid,10.0,"(0.4, 0.4, 0.2)",0.03,0.015405224380442064,0.05425318151373074,0.08238446081714669,0.040455458807769594
hybrid,3.0,"(0.5, 0.3, 0.2)",0.0,0.016744809109176157,0.048894842598794376,0.08573342263898191,0.04018754186202277
hybrid,5.0,"(0.6, 0.3, 0.1)",0.03,0.01406563965170797,0.05626255860683188,0.0810448760884126,0.04012056262558607
hybrid,5.0,"(0.6, 0.3, 0.1)",0.02,0.015405224380442064,0.055592766242464835,0.0783657066309444,0.040053583389149355
hybrid,5.0,"(0.3, 0.5, 0.2)",0.01,0.014735432016075016,0.05291359678499665,0.08238446081714669,0.03971868720696584
hybrid,10.0,"(0.3, 0.5, 0.2)",0.02,0.01406563965170797,0.05492297387809779,0.0810448760884126,0.03971868720696584
topk,10.0,,0.03,0.009377093101138647,0.05961152042866711,0.08573342263898191,0.039718687206965836
topk,10.0,,0.02,0.012056262558606833,0.056932350971198926,0.08238446081714669,0.03958472873409243
hybrid,10.0,"(0.5, 0.3, 0.2)",0.02,0.012726054922973878,0.05760214333556597,0.07903549899531145,0.03945077026121902
hybrid,10.0,"(0.6, 0.3, 0.1)",0.03,0.014735432016075016,0.05291359678499665,0.08037508372404555,0.03931681178834562
hybrid,3.0,"(0.6, 0.3, 0.1)",0.01,0.01406563965170797,0.05492297387809779,0.07903549899531145,0.03931681178834561
hybrid,3.0,"(0.3, 0.5, 0.2)",0.005,0.015405224380442064,0.05023442732752847,0.08238446081714669,0.039249832551908906
hybrid,5.0,"(0.6, 0.3, 0.1)",0.01,0.013395847287340924,0.052243804420629605,0.08372404554588078,0.039115874079035495
hybrid,3.0,"(0.4, 0.4, 0.2)",0.01,0.012726054922973878,0.0535833891493637,0.08171466845277964,0.038780977896851976
hybrid,10.0,"(0.6, 0.3, 0.1)",0.02,0.011386470194239785,0.05827193569993302,0.07769591426657736,0.03871399866041527
topk,5.0,,0.01,0.011386470194239785,0.05492297387809779,0.08238446081714669,0.038647019423978565
hybrid,3.0,"(0.6, 0.3, 0.1)",0.0,0.016744809109176157,0.04554588077695914,0.08305425318151373,0.038647019423978565
topk,10.0,,0.01,0.010716677829872739,0.05291359678499665,0.08640321500334897,0.038513060951105155
prototype,,,0.0,0.020763563295378432,0.046215673141326186,0.0709979906229069,0.038446081714668456
topk,3.0,,0.01,0.011386470194239785,0.05425318151373074,0.08238446081714669,0.038446081714668456
