retrieval,topk,weights,alpha,R@1,R@3,R@5,Score
prototype,,,0.0,0.025452109845947757,0.055592766242464835,0.08774279973208306,0.04695244474212994
hybrid,3.0,"(0.6, 0.3, 0.1)",0.0,0.02277294038847957,0.056932350971198926,0.09243134628265237,0.04695244474212994
hybrid,3.0,"(0.6, 0.3, 0.1)",0.03,0.020763563295378432,0.05425318151373074,0.09511051574012057,0.04567983924983256
hybrid,3.0,"(0.5, 0.3, 0.2)",0.03,0.018754186202277295,0.05492297387809779,0.08908238446081715,0.04367046215673141
topk,10.0,,0.005,0.016744809109176157,0.05291359678499665,0.09511051574012057,0.043268586738111195
prototype,,,0.005,0.02277294038847957,0.05023442732752847,0.08372404554588078,0.04320160750167448
hybrid,10.0,"(0.3, 0.5, 0.2)",0.005,0.018754186202277295,0.05291359678499665,0.08908238446081715,0.04306764902880107
hybrid,5.0,"(0.6, 0.3, 0.1)",0.005,0.020763563295378432,0.05425318151373074,0.08171466845277964,0.04300066979236437
hybrid,10.0,"(0.6, 0.3, 0.1)",0.005,0.01942397856664434,0.05291359678499665,0.08439383791024782,0.04246483590087073
hybrid,10.0,"(0.5, 0.3, 0.2)",0.005,0.01942397856664434,0.05291359678499665,0.08372404554588078,0.04233087742799732
hybrid,3.0,"(0.3, 0.5, 0.2)",0.005,0.021433355659745478,0.05291359678499665,0.0783657066309444,0.04226389819156061
hybrid,10.0,"(0.4, 0.4, 0.2)",0.005,0.018754186202277295,0.052243804420629605,0.08573342263898191,0.04219691895512391
hybrid,3.0,"(0.6, 0.3, 0.1)",0.005,0.01942397856664434,0.05157401205626256,0.0810448760884126,0.04139316811788346
hybrid,5.0,"(0.4, 0.4, 0.2)",0.005,0.020093770931011386,0.048894842598794376,0.08305425318151373,0.04132618888144675
hybrid,3.0,"(0.4, 0.4, 0.2)",0.005,0.020093770931011386,0.04822505023442733,0.08305425318151373,0.04112525117213664
hybrid,5.0,"(0.6, 0.3, 0.1)",0.01,0.022103148024112524,0.04956463496316142,0.07568653717347622,0.04105827193569993
hybrid,3.0,"(0.4, 0.4, 0.2)",0.03,0.018754186202277295,0.05023442732752847,0.08171466845277964,0.04079035498995311
hybrid,10.0,"(0.6, 0.3, 0.1)",0.01,0.020763563295378432,0.05023442732752847,0.07635632953784327,0.04072337575351641
prototype,,,0.01,0.020763563295378432,0.04956463496316142,0.07702612190221031,0.0406563965170797
hybrid,5.0,"(0.3, 0.5, 0.2)",0.005,0.018754186202277295,0.04956463496316142,0.0810448760884126,0.0404554588077696
hybrid,5.0,"(0.5, 0.3, 0.2)",0.005,0.020093770931011386,0.04822505023442733,0.0783657066309444,0.040187541862022766
hybrid,5.0,"(0.6, 0.3, 0.1)",0.03,0.016744809109176157,0.048894842598794376,0.08506363027461487,0.04005358338914937
hybrid,10.0,"(0.4, 0.4, 0.2)",0.01,0.018754186202277295,0.05157401205626256,0.07501674480910918,0.03985264567983925
hybrid,10.0,"(0.3, 0.5, 0.2)",0.01,0.01808439383791025,0.05023442732752847,0.0783657066309444,0.03978566644340255
hybrid,3.0,"(0.5, 0.3, 0.2)",0.005,0.01942397856664434,0.04688546550569324,0.07970529135967849,0.039718687206965836
hybrid,10.0,"(0.3, 0.5, 0.2)",0.02,0.01942397856664434,0.05023442732752847,0.072337575351641,0.03924983255190891
topk,5.0,,0.005,0.014735432016075016,0.04822505023442733,0.08640321500334897,0.039115874079035495
hybrid,10.0,"(0.5, 0.3, 0.2)",0.01,0.01808439383791025,0.04956463496316142,0.07568653717347622,0.0390488948425988
hybrid,10.0,"(0.5, 0.3, 0.2)",0.02,0.01942397856664434,0.04956463496316142,0.072337575351641,0.0390488948425988
hybrid,5.0,"(0.5, 0.3, 0.2)",0.01,0.01808439383791025,0.048894842598794376,0.07635632953784327,0.03898191560616209
topk,5.0,,0.02,0.018754186202277295,0.047555257870060284,0.07635632953784327,0.038914936369725386
hybrid,3.0,"(0.6, 0.3, 0.1)",0.01,0.016075016744809108,0.05291359678499665,0.07367716008037509,0.038647019423978565
hybrid,10.0,"(0.6, 0.3, 0.1)",0.02,0.020093770931011386,0.046215673141326186,0.072337575351641,0.03837910247823175
hybrid,3.0,"(0.5, 0.3, 0.2)",0.01,0.015405224380442064,0.052243804420629605,0.07501674480910918,0.038379102478231744
hybrid,10.0,"(0.4, 0.4, 0.2)",0.02,0.020093770931011386,0.046215673141326186,0.07166778298727394,0.03824514400535834
hybrid,5.0,"(0.4, 0.4, 0.2)",0.01,0.018754186202277295,0.04554588077695914,0.07501674480910918,0.038044206296048225
hybrid,5.0,"(0.5, 0.3, 0.2)",0.03,0.014735432016075016,0.047555257870060284,0.08171466845277964,0.03797722705961152
hybrid,5.0,"(0.3, 0.5, 0.2)",0.01,0.01808439383791025,0.04420629604822505,0.0783657066309444,0.03797722705961151
hybrid,3.0,"(0.4, 0.4, 0.2)",0.01,0.016744809109176157,0.04956463496316142,0.0709979906229069,0.037441393168117884
hybrid,5.0,"(0.3, 0.5, 0.2)",0.02,0.017414601473543203,0.047555257870060284,0.072337575351641,0.037441393168117884
max,,,0.03,0.016744809109176157,0.046215673141326186,0.07501674480910918,0.037240455458807775
topk,3.0,,0.005,0.01406563965170797,0.046215673141326186,0.08037508372404555,0.036972538513060954
hybrid,3.0,"(0.3, 0.5, 0.2)",0.03,0.013395847287340924,0.04956463496316142,0.07702612190221031,0.036972538513060954
topk,5.0,,0.03,0.018754186202277295,0.044876088412592094,0.06898861352980576,0.03663764233087743
hybrid,5.0,"(0.4, 0.4, 0.2)",0.02,0.016744809109176157,0.046215673141326186,0.07166778298727394,0.03657066309444072
max,,,0.0,0.014735432016075016,0.044876088412592094,0.0783657066309444,0.03650368385800401
hybrid,3.0,"(0.3, 0.5, 0.2)",0.01,0.016075016744809108,0.046215673141326186,0.07166778298727394,0.0362357669122572
topk,5.0,,0.01,0.016075016744809108,0.041527126590756865,0.07702612190221031,0.035900870730073677
topk,10.0,,0.01,0.011386470194239785,0.046215673141326186,0.08171466845277964,0.035900870730073677
hybrid,5.0,"(0.4, 0.4, 0.2)",0.03,0.015405224380442064,0.046215673141326186,0.0709979906229069,0.03576691225720027
hybrid,5.0,"(0.5, 0.3, 0.2)",0.02,0.014735432016075016,0.04554588077695914,0.07367716008037509,0.035766912257200266
hybrid,5.0,"(0.3, 0.5, 0.2)",0.03,0.015405224380442064,0.04554588077695914,0.0709979906229069,0.03556597454789015
hybrid,5.0,"(0.6, 0.3, 0.1)",0.02,0.014735432016075016,0.04554588077695914,0.072337575351641,0.03549899531145345
hybrid,10.0,"(0.5, 0.3, 0.2)",0.03,0.013395847287340924,0.046215673141326186,0.07032819825853985,0.03462826523777629
hybrid,3.0,"(0.6, 0.3, 0.1)",0.02,0.012726054922973878,0.043536503683858,0.07501674480910918,0.034427327528466174
hybrid,10.0,"(0.6, 0.3, 0.1)",0.03,0.01406563965170797,0.044876088412592094,0.06898861352980576,0.03429336905559277
topk,10.0,,0.03,0.012726054922973878,0.04554588077695914,0.0709979906229069,0.03422638981915606
hybrid,3.0,"(0.3, 0.5, 0.2)",0.02,0.015405224380442064,0.043536503683858,0.06630944407233758,0.03402545210984595
hybrid,3.0,"(0.5, 0.3, 0.2)",0.02,0.012726054922973878,0.043536503683858,0.07166778298727394,0.03375753516409913
topk,10.0,,0.02,0.012056262558606833,0.043536503683858,0.07166778298727394,0.03342263898191561
hybrid,3.0,"(0.4, 0.4, 0.2)",0.02,0.014735432016075016,0.041527126590756865,0.06764902880107167,0.033355659745478904
hybrid,10.0,"(0.4, 0.4, 0.2)",0.03,0.014735432016075016,0.04420629604822505,0.06296048225050234,0.033221701272605486
hybrid,10.0,"(0.3, 0.5, 0.2)",0.03,0.015405224380442064,0.043536503683858,0.061620897521768254,0.03308774279973208
topk,3.0,,0.03,0.012726054922973878,0.042866711319490956,0.06831882116543872,0.032886805090421974
topk,3.0,,0.02,0.012056262558606833,0.043536503683858,0.06831882116543872,0.03275284661754856
topk,3.0,,0.01,0.012726054922973878,0.03884795713328868,0.07032819825853985,0.03208305425318152
max,,,0.02,0.012726054922973878,0.0361687876758205,0.0622906898861353,0.02967180174146015
max,,,0.005,0.010716677829872739,0.03549899531145345,0.06095110515740121,0.02819825853985265
max,,,0.01,0.008037508372404554,0.032150033489618215,0.05626255860683188,0.024916275954454118
