retrieval,topk,weights,alpha,R@1,R@3,R@5,Score
topk,10.0,,0.0,0.042866711319490956,0.09310113864701942,0.13864701942397856,0.07709310113864702
topk,5.0,,0.0,0.03549899531145345,0.08506363027461487,0.12993971868720697,0.06925653047555258
topk,3.0,,0.0,0.036838580040187544,0.08238446081714669,0.12726054922973878,0.06858673811118554
hybrid,10.0,"(0.3, 0.5, 0.2)",0.0,0.02277294038847957,0.07166778298727394,0.11855324849296718,0.0565974547890154
topk,10.0,,0.005,0.018754186202277295,0.06697923643670463,0.12793034159410582,0.0550569323509712
hybrid,10.0,"(0.4, 0.4, 0.2)",0.0,0.020093770931011386,0.06965840589417281,0.10984594775619558,0.05291359678499665
hybrid,5.0,"(0.3, 0.5, 0.2)",0.0,0.013395847287340924,0.06965840589417281,0.10917615539182854,0.04943067649028801
hybrid,5.0,"(0.4, 0.4, 0.2)",0.0,0.014735432016075016,0.06563965170797052,0.1071667782987274,0.048492967180174144
hybrid,10.0,"(0.5, 0.3, 0.2)",0.0,0.014735432016075016,0.06363027461486939,0.10649698593436034,0.0477561955793704
hybrid,10.0,"(0.3, 0.5, 0.2)",0.005,0.01942397856664434,0.06296048225050234,0.09578030810448761,0.04775619557937039
max,,,0.0,0.022103148024112524,0.05961152042866711,0.09243134628265237,0.04742129939718687
hybrid,3.0,"(0.4, 0.4, 0.2)",0.0,0.012726054922973878,0.06563965170797052,0.1058271935699933,0.04722036168787676
hybrid,10.0,"(0.6, 0.3, 0.1)",0.0,0.014735432016075016,0.06363027461486939,0.10113864701942397,0.04668452779638312
hybrid,5.0,"(0.5, 0.3, 0.2)",0.0,0.013395847287340924,0.0622906898861353,0.10515740120562625,0.0464166108506363
hybrid,3.0,"(0.3, 0.5, 0.2)",0.0,0.012056262558606833,0.06563965170797052,0.10314802411252512,0.046349631614199596
hybrid,5.0,"(0.6, 0.3, 0.1)",0.0,0.014735432016075016,0.061620897521768254,0.10113864701942397,0.04608171466845278
topk,5.0,,0.005,0.017414601473543203,0.05961152042866711,0.0971198928332217,0.04601473543201608
hybrid,3.0,"(0.5, 0.3, 0.2)",0.0,0.012056262558606833,0.0622906898861353,0.1058271935699933,0.045880776959142666
hybrid,3.0,"(0.6, 0.3, 0.1)",0.0,0.013395847287340924,0.05961152042866711,0.10515740120562625,0.045612860013395845
hybrid,10.0,"(0.4, 0.4, 0.2)",0.005,0.017414601473543203,0.05961152042866711,0.09511051574012057,0.045612860013395845
hybrid,10.0,"(0.5, 0.3, 0.2)",0.005,0.017414601473543203,0.052243804420629605,0.09845947756195579,0.04407233757535164
hybrid,3.0,"(0.4, 0.4, 0.2)",0.03,0.01406563965170797,0.0622906898861353,0.09109176155391828,0.043938379102478234
hybrid,3.0,"(0.3, 0.5, 0.2)",0.03,0.014735432016075016,0.06028131279303416,0.09109176155391828,0.04367046215673141
hybrid,5.0,"(0.3, 0.5, 0.2)",0.03,0.016744809109176157,0.05827193569993302,0.08908238446081715,0.04367046215673141
hybrid,3.0,"(0.4, 0.4, 0.2)",0.005,0.015405224380442064,0.05492297387809779,0.0971198928332217,0.04360348292029471
hybrid,10.0,"(0.6, 0.3, 0.1)",0.005,0.017414601473543203,0.05157401205626256,0.09444072337575352,0.04306764902880107
hybrid,5.0,"(0.4, 0.4, 0.2)",0.005,0.015405224380442064,0.05425318151373074,0.09511051574012057,0.043000669792364374
hybrid,5.0,"(0.3, 0.5, 0.2)",0.005,0.013395847287340924,0.056932350971198926,0.09377093101138648,0.04253181513730744
hybrid,3.0,"(0.5, 0.3, 0.2)",0.005,0.015405224380442064,0.05291359678499665,0.09377093101138648,0.04233087742799732
hybrid,3.0,"(0.6, 0.3, 0.1)",0.005,0.016744809109176157,0.05023442732752847,0.09444072337575352,0.04233087742799732
hybrid,3.0,"(0.6, 0.3, 0.1)",0.03,0.016744809109176157,0.05492297387809779,0.087073007367716,0.04226389819156062
hybrid,3.0,"(0.5, 0.3, 0.2)",0.03,0.01406563965170797,0.05961152042866711,0.08640321500334897,0.04219691895512391
hybrid,5.0,"(0.4, 0.4, 0.2)",0.03,0.014735432016075016,0.05626255860683188,0.08908238446081715,0.0420629604822505
hybrid,10.0,"(0.5, 0.3, 0.2)",0.03,0.01808439383791025,0.05291359678499665,0.08573342263898191,0.0420629604822505
prototype,,,0.005,0.016744809109176157,0.048894842598794376,0.09444072337575352,0.041929002009377096
hybrid,10.0,"(0.4, 0.4, 0.2)",0.03,0.015405224380442064,0.05626255860683188,0.08640321500334897,0.04186202277294039
hybrid,5.0,"(0.5, 0.3, 0.2)",0.005,0.013395847287340924,0.0535833891493637,0.09511051574012057,0.041795043536503686
hybrid,3.0,"(0.3, 0.5, 0.2)",0.005,0.012056262558606833,0.05492297387809779,0.09511051574012057,0.04152712659075687
hybrid,10.0,"(0.6, 0.3, 0.1)",0.03,0.01808439383791025,0.05157401205626256,0.08506363027461487,0.041527126590756865
hybrid,3.0,"(0.4, 0.4, 0.2)",0.02,0.01406563965170797,0.05492297387809779,0.08908238446081715,0.04132618888144675
hybrid,5.0,"(0.3, 0.5, 0.2)",0.02,0.015405224380442064,0.052243804420629605,0.08975217682518419,0.04132618888144675
max,,,0.03,0.012726054922973878,0.05760214333556597,0.08774279973208306,0.041192230408573345
prototype,,,0.0,0.013395847287340924,0.05291359678499665,0.09310113864701942,0.04119223040857334
hybrid,5.0,"(0.5, 0.3, 0.2)",0.03,0.014735432016075016,0.05760214333556597,0.08238446081714669,0.04112525117213664
hybrid,10.0,"(0.3, 0.5, 0.2)",0.03,0.012056262558606833,0.058941728064300064,0.08573342263898191,0.04085733422638982
hybrid,5.0,"(0.6, 0.3, 0.1)",0.03,0.016744809109176157,0.0535833891493637,0.08171466845277964,0.04079035498995311
hybrid,5.0,"(0.4, 0.4, 0.2)",0.02,0.01406563965170797,0.05425318151373074,0.08640321500334897,0.040589417280643
max,,,0.02,0.014735432016075016,0.055592766242464835,0.08238446081714669,0.0405224380442063
hybrid,5.0,"(0.5, 0.3, 0.2)",0.02,0.015405224380442064,0.052243804420629605,0.08506363027461487,0.04038847957133289
hybrid,5.0,"(0.6, 0.3, 0.1)",0.005,0.01406563965170797,0.05157401205626256,0.08908238446081715,0.04032150033489618
hybrid,3.0,"(0.6, 0.3, 0.1)",0.02,0.01808439383791025,0.04688546550569324,0.08573342263898191,0.04025452109845948
hybrid,10.0,"(0.5, 0.3, 0.2)",0.01,0.012726054922973878,0.052243804420629605,0.09109176155391828,0.04025452109845948
hybrid,3.0,"(0.3, 0.5, 0.2)",0.02,0.012726054922973878,0.050904219691895514,0.09243134628265237,0.04012056262558607
topk,3.0,,0.005,0.01406563965170797,0.05492297387809779,0.08238446081714669,0.03998660415271266
topk,3.0,,0.03,0.013395847287340924,0.05425318151373074,0.08506363027461487,0.03998660415271266
hybrid,10.0,"(0.3, 0.5, 0.2)",0.01,0.013395847287340924,0.05157401205626256,0.0884125920964501,0.039852645679839246
prototype,,,0.01,0.016744809109176157,0.04688546550569324,0.08640321500334897,0.039718687206965836
prototype,,,0.03,0.016744809109176157,0.047555257870060284,0.08506363027461487,0.03965170797052914
