retrieval,topk,weights,alpha,R@1,R@3,R@5,Score
hybrid,10.0,"(0.6, 0.3, 0.1)",0.02,0.017414601473543203,0.044876088412592094,0.06965840589417281,0.03610180843938379
hybrid,3.0,"(0.6, 0.3, 0.1)",0.005,0.015405224380442064,0.04554588077695914,0.072337575351641,0.03583389149363697
topk,5.0,,0.03,0.014735432016075016,0.043536503683858,0.07367716008037509,0.035164099129269925
hybrid,3.0,"(0.6, 0.3, 0.1)",0.01,0.017414601473543203,0.041527126590756865,0.06630944407233758,0.034427327528466174
hybrid,5.0,"(0.5, 0.3, 0.2)",0.02,0.016075016744809108,0.043536503683858,0.06563965170797052,0.03422638981915606
hybrid,10.0,"(0.4, 0.4, 0.2)",0.03,0.017414601473543203,0.041527126590756865,0.06496985934360348,0.03415941058271936
max,,,0.005,0.016744809109176157,0.04219691895512391,0.06563965170797052,0.03415941058271935
prototype,,,0.02,0.015405224380442064,0.042866711319490956,0.06764902880107167,0.034092431346282655
topk,3.0,,0.03,0.016075016744809108,0.038178164768921635,0.06965840589417281,0.03342263898191561
hybrid,3.0,"(0.3, 0.5, 0.2)",0.02,0.016075016744809108,0.03951774949765573,0.06496985934360348,0.032886805090421974
hybrid,3.0,"(0.4, 0.4, 0.2)",0.02,0.016075016744809108,0.03951774949765573,0.06363027461486939,0.03261888814467515
hybrid,5.0,"(0.3, 0.5, 0.2)",0.03,0.012726054922973878,0.04219691895512391,0.06496985934360348,0.03201607501674481
hybrid,10.0,"(0.6, 0.3, 0.1)",0.03,0.01808439383791025,0.03549899531145345,0.06028131279303416,0.03174815807099799
max,,,0.01,0.014735432016075016,0.03884795713328868,0.06296048225050234,0.03161419959812458
hybrid,5.0,"(0.6, 0.3, 0.1)",0.02,0.016744809109176157,0.03750837240455459,0.05961152042866711,0.031547220361687875
hybrid,10.0,"(0.5, 0.3, 0.2)",0.03,0.017414601473543203,0.033489618218352314,0.06363027461486939,0.03148024112525118
hybrid,3.0,"(0.5, 0.3, 0.2)",0.02,0.013395847287340924,0.03951774949765573,0.06296048225050234,0.03114534494306765
hybrid,3.0,"(0.3, 0.5, 0.2)",0.03,0.014735432016075016,0.03549899531145345,0.06430006697923643,0.03087742799732083
prototype,,,0.01,0.013395847287340924,0.03951774949765573,0.058941728064300064,0.030341594105827194
max,,,0.03,0.015405224380442064,0.0361687876758205,0.058941728064300064,0.030341594105827194
max,,,0.02,0.012726054922973878,0.038178164768921635,0.061620897521768254,0.030140656396517085
hybrid,3.0,"(0.6, 0.3, 0.1)",0.02,0.015405224380442064,0.03415941058271936,0.06028131279303416,0.03000669792364367
hybrid,5.0,"(0.4, 0.4, 0.2)",0.03,0.012726054922973878,0.036838580040187544,0.0622906898861353,0.02987273945077026
prototype,,,0.005,0.012056262558606833,0.03884795713328868,0.05961152042866711,0.029604822505023443
prototype,,,0.0,0.011386470194239785,0.03750837240455459,0.061620897521768254,0.029269926322839923
hybrid,3.0,"(0.4, 0.4, 0.2)",0.03,0.013395847287340924,0.03281982585398526,0.05827193569993302,0.028198258539852642
hybrid,5.0,"(0.6, 0.3, 0.1)",0.03,0.015405224380442064,0.03281982585398526,0.052243804420629605,0.02799732083054253
hybrid,3.0,"(0.5, 0.3, 0.2)",0.03,0.012726054922973878,0.030810448760884127,0.0535833891493637,0.02632283991962492
hybrid,5.0,"(0.5, 0.3, 0.2)",0.03,0.012726054922973878,0.03014065639651708,0.05291359678499665,0.025987943737441392
hybrid,3.0,"(0.6, 0.3, 0.1)",0.03,0.012056262558606833,0.030810448760884127,0.05157401205626256,0.025586068318821167
