weights,w_r100s123_conservative,w_r80s123_balanced,w_r100s777_conservative,w_r100s123_val086,official_R@1,official_R@3,official_R@5,official_Score,official_top1_unique,official_top1_max_fraction,robust_mean_score,robust_min_score,robust_std_score,robust_mean_top1_max_fraction,balanced_score,conservative_score
"(0.15, 0.75, 0.05, 0.05)",0.15,0.75,0.05,0.05,0.044876088412592094,0.09845947756195579,0.14601473543201607,0.081178834561286,32,0.5880776959142666,0.12033530530746694,0.09544814641013609,0.021412988812901365,0.4964420420731539,0.161026558686681,0.12890290776635405
"(0.05, 0.7, 0.15, 0.1)",0.05,0.7,0.15,0.1,0.04554588077695914,0.09979906229068988,0.144675150703282,0.08164768921634294,30,0.5927662424648359,0.12050704513399646,0.09544814641013608,0.02125796643677863,0.4962875225464426,0.16096387118568206,0.12937176242141096
"(0.0, 0.75, 0.2, 0.05)",0.0,0.75,0.2,0.05,0.046215673141326186,0.09778968519758875,0.14601473543201607,0.08164768921634293,32,0.5840589417280643,0.1192823166662614,0.09482839680300892,0.02113252852052631,0.4931021571800933,0.16073536302489916,0.12906188761784737
"(0.1, 0.85, 0.05, 0.0)",0.1,0.85,0.05,0.0,0.04420629604822505,0.09578030810448761,0.14668452779638314,0.08017414601473544,31,0.579370395177495,0.12007329783389217,0.09478138222849083,0.021846822284715132,0.49028389022577396,0.16073257568624877,0.12756483712898087
"(0.0, 0.6, 0.4, 0.0)",0.0,0.6,0.4,0.0,0.047555257870060284,0.09645010046885466,0.14534494306764903,0.08178164768921634,34,0.5860683188211654,0.11989856112049566,0.09389957766306897,0.022042420857673096,0.4987821641356547,0.1607197498180717,0.1287314365207508
"(0.1, 0.7, 0.15, 0.05)",0.1,0.7,0.15,0.05,0.04554588077695914,0.09845947756195579,0.14601473543201607,0.08151373074346951,31,0.5894172806430007,0.12029341862238736,0.09455654622243079,0.021647343824888785,0.49830864813272024,0.1606728303806222,0.12879200385468492
"(0.05, 0.8, 0.15, 0.0)",0.05,0.8,0.15,0.0,0.046215673141326186,0.09310113864701942,0.1480241125251172,0.08064300066979237,33,0.580040187541862,0.1198646933131023,0.09432191459408729,0.02232620173571283,0.49123431563663544,0.160662623148659,0.12780395796683602
"(0.95, 0.05, 0.0, 0.0)",0.95,0.05,0.0,0.0,0.044876088412592094,0.10046885465505694,0.14869390488948425,0.08231748158070998,33,0.5907568653717348,0.1197491888032765,0.09432191459408729,0.021462373253488858,0.5070245963125842,0.16061409787526987,0.12947843887775362
"(0.05, 0.65, 0.2, 0.1)",0.05,0.65,0.2,0.1,0.046215673141326186,0.09845947756195579,0.144675150703282,0.08158070997990623,30,0.59410582719357,0.1205149387831459,0.09521351478179259,0.021154432351666533,0.49808244532164175,0.1605865320749129,0.12918746737080253
"(0.1, 0.75, 0.05, 0.1)",0.1,0.75,0.05,0.1,0.04420629604822505,0.09979906229068988,0.14400535833891492,0.08084393837910248,32,0.5887474882786337,0.12013503336534954,0.09582355701548569,0.02079890205667699,0.4945869819156772,0.1605786270103998,0.1287557168868453
