weights,split,R@1,R@3,R@5,Score,top1_unique_ships,top1_max_ship_fraction,top1_entropy
"(0.0, 0.0, 0.4, 0.6)",latest20,0.07302533532041729,0.1527570789865872,0.23099850968703428,0.12853949329359166,30,0.5983606557377049,1.6321636755557598
"(0.0, 0.0, 0.4, 0.6)",earliest20,0.08196721311475409,0.15350223546944858,0.21385991058122206,0.12980625931445605,31,0.47242921013412814,2.1843431127906365
"(0.0, 0.0, 0.4, 0.6)",month_latest,0.04692632566870014,0.10464570624120131,0.1661191928671985,0.08808071328015016,39,0.21398404504927265,2.5462752947643525
"(0.0, 0.0, 0.4, 0.6)",ais_group_random20,0.05124588622472966,0.11095439586271744,0.16408086506817113,0.0917254348848143,36,0.5228020686412788,2.0934412066273493
"(0.0, 0.0, 0.45, 0.55)",random20,0.08643815201192251,0.18181818181818182,0.2459016393442623,0.14694485842026825,28,0.6087928464977646,1.6792955127605822
"(0.0, 0.0, 0.45, 0.55)",latest20,0.07451564828614009,0.15350223546944858,0.22876304023845007,0.12906110283159464,29,0.5983606557377049,1.6301806661595712
"(0.0, 0.0, 0.45, 0.55)",earliest20,0.08047690014903129,0.15201192250372578,0.21460506706408347,0.1287630402384501,31,0.4843517138599106,2.1432782974897497
"(0.0, 0.0, 0.45, 0.55)",month_latest,0.04645706241201314,0.10511496949788832,0.1661191928671985,0.08798686062881277,38,0.2045987799155326,2.55501696932768
"(0.0, 0.0, 0.45, 0.55)",ais_group_random20,0.05124588622472966,0.10907381288199341,0.16549130230371414,0.09144334743770569,34,0.538316878232252,2.0400708684257554
"(0.0, 0.0, 0.5, 0.5)",random20,0.08792846497764531,0.18330849478390462,0.2451564828614009,0.14798807749627424,29,0.613263785394933,1.6537209165543103
"(0.0, 0.0, 0.5, 0.5)",latest20,0.07302533532041729,0.15424739195231,0.22876304023845007,0.12853949329359166,29,0.6013412816691506,1.6162888656523973
"(0.0, 0.0, 0.5, 0.5)",earliest20,0.08047690014903129,0.15201192250372578,0.21758569299552907,0.1293591654247392,30,0.49552906110283157,2.10549504636399
"(0.0, 0.0, 0.5, 0.5)",month_latest,0.04598779915532614,0.10605349601126232,0.16846550915063352,0.08850305021116847,39,0.19427498826841857,2.5686158821946945
"(0.0, 0.0, 0.5, 0.5)",ais_group_random20,0.05218617771509168,0.10907381288199341,0.16361071932299012,0.09153737658674188,33,0.5519511048425012,2.0043182460293143
"(0.0, 0.0, 0.55, 0.45)",random20,0.08792846497764531,0.18330849478390462,0.2466467958271237,0.1482861400894188,29,0.613263785394933,1.6504792308879093
"(0.0, 0.0, 0.55, 0.45)",latest20,0.07377049180327869,0.15499254843517138,0.22950819672131148,0.12928464977645307,29,0.6065573770491803,1.599481756825411
"(0.0, 0.0, 0.55, 0.45)",earliest20,0.07898658718330849,0.15052160953800298,0.21236959761549926,0.12712369597615497,30,0.5059612518628912,2.053228632845374
"(0.0, 0.0, 0.55, 0.45)",month_latest,0.047395588925387144,0.10699202252463633,0.1670577193805725,0.08920694509619898,39,0.18911309244486157,2.577287702009382
"(0.0, 0.0, 0.55, 0.45)",ais_group_random20,0.05312646920545369,0.11095439586271744,0.1622002820874471,0.0922896097790315,34,0.5641748942172073,1.9627737208142457
"(0.0, 0.0, 0.6, 0.4)",random20,0.08792846497764531,0.1810730253353204,0.2481371087928465,0.14791356184798807,29,0.6117734724292101,1.6420368225372064
"(0.0, 0.0, 0.6, 0.4)",latest20,0.07302533532041729,0.15648286140089418,0.22652757078986588,0.1287630402384501,29,0.6058122205663189,1.6089084642550555
"(0.0, 0.0, 0.6, 0.4)",earliest20,0.07675111773472429,0.15424739195231,0.21162444113263784,0.1269746646795827,30,0.5149031296572281,2.0095881532140156
"(0.0, 0.0, 0.6, 0.4)",month_latest,0.045518535898639134,0.10839981229469732,0.1670577193805725,0.08869075551384326,37,0.18348193336461754,2.570462358130965
"(0.0, 0.0, 0.6, 0.4)",ais_group_random20,0.05547719793135872,0.11142454160789844,0.1607898448519041,0.0933239304184297,33,0.5801598495533615,1.9110796585429364
"(0.0, 0.0, 0.65, 0.35)",random20,0.08792846497764531,0.18032786885245902,0.2488822652757079,0.14783904619970195,31,0.6117734724292101,1.6382016553336338
"(0.0, 0.0, 0.65, 0.35)",latest20,0.06855439642324888,0.15797317436661698,0.22652757078986588,0.1269746646795827,29,0.6102831594634873,1.5906348655636637
"(0.0, 0.0, 0.65, 0.35)",earliest20,0.07600596125186289,0.15499254843517138,0.21535022354694486,0.12757078986587184,31,0.5208643815201193,1.9866645310452749
"(0.0, 0.0, 0.65, 0.35)",month_latest,0.04598779915532614,0.10746128578132333,0.16752698263725951,0.08873768183951197,37,0.18207414359455654,2.573042126382476
"(0.0, 0.0, 0.65, 0.35)",ais_group_random20,0.05594734367653973,0.11095439586271744,0.16031969910672308,0.0933239304184297,31,0.5942642219087917,1.8445024707380793
"(0.0, 0.0, 0.7, 0.3)",random20,0.08643815201192251,0.17883755588673622,0.2473919523099851,0.14634873323397912,29,0.6117734724292101,1.6273526978809902
"(0.0, 0.0, 0.7, 0.3)",latest20,0.06855439642324888,0.1602086438152012,0.22876304023845007,0.12809239940387482,28,0.6080476900149031,1.595532776212932
"(0.0, 0.0, 0.7, 0.3)",earliest20,0.07526080476900149,0.15499254843517138,0.21684053651266766,0.1274962742175857,30,0.5201192250372578,1.9755725107847972
"(0.0, 0.0, 0.7, 0.3)",month_latest,0.04645706241201314,0.10933833880807133,0.1647114030971375,0.08897231346785547,37,0.19192867198498356,2.582803863674864
"(0.0, 0.0, 0.7, 0.3)",ais_group_random20,0.05688763516690174,0.11001410437235543,0.1607898448519041,0.09360601786553832,31,0.5975552421250587,1.82506042628995
"(0.0, 0.0, 0.75, 0.25)",random20,0.08569299552906111,0.1795827123695976,0.2466467958271237,0.14605067064083457,29,0.6073025335320418,1.6448625543744742
"(0.0, 0.0, 0.75, 0.25)",latest20,0.06631892697466468,0.1631892697466468,0.22727272727272727,0.12757078986587184,27,0.6087928464977646,1.596210937143748
"(0.0, 0.0, 0.75, 0.25)",earliest20,0.07451564828614009,0.1527570789865872,0.21907600596125187,0.1269001490312966,31,0.5208643815201193,1.9470519873335257
"(0.0, 0.0, 0.75, 0.25)",month_latest,0.04645706241201314,0.10746128578132333,0.1670577193805725,0.08887846081651807,38,0.1966213045518536,2.5928378086433033
"(0.0, 0.0, 0.75, 0.25)",ais_group_random20,0.05594734367653973,0.10907381288199341,0.1607898448519041,0.0928537846732487,31,0.6008462623413258,1.803722020056736
"(0.0, 0.0, 0.8, 0.2)",random20,0.08643815201192251,0.176602086438152,0.2473919523099851,0.14567809239940388,28,0.6035767511177347,1.6475382051729417
"(0.0, 0.0, 0.8, 0.2)",latest20,0.06780923994038748,0.161698956780924,0.22652757078986588,0.12771982116244412,27,0.6080476900149031,1.5942917734846311
"(0.0, 0.0, 0.8, 0.2)",earliest20,0.07377049180327869,0.1497764530551416,0.21833084947839046,0.1254843517138599,31,0.522354694485842,1.916164884264514
"(0.0, 0.0, 0.8, 0.2)",month_latest,0.04364148287189113,0.10605349601126232,0.1694040356640075,0.08751759737212575,37,0.20225246363209762,2.5971538208360845
"(0.0, 0.0, 0.8, 0.2)",ais_group_random20,0.05500705218617771,0.11048425011753643,0.1622002820874471,0.0930888575458392,30,0.6027268453220498,1.7938405547358476
"(0.0, 0.0, 0.85, 0.15)",random20,0.08569299552906111,0.17734724292101342,0.2503725782414307,0.14612518628912075,28,0.5953800298062594,1.6531605434607346
"(0.0, 0.0, 0.85, 0.15)",latest20,0.06631892697466468,0.1587183308494784,0.22354694485842028,0.1254843517138599,28,0.6058122205663189,1.6245247535555951
"(0.0, 0.0, 0.85, 0.15)",earliest20,0.07302533532041729,0.15424739195231,0.21907600596125187,0.12660208643815202,31,0.5201192250372578,1.9040681526689351
"(0.0, 0.0, 0.85, 0.15)",month_latest,0.044580009385265136,0.10511496949788832,0.1698732989206945,0.08779915532613797,36,0.2064758329422806,2.5991767586109957
"(0.0, 0.0, 0.85, 0.15)",ais_group_random20,0.052656323460272686,0.11095439586271744,0.16031969910672308,0.09167842031029619,29,0.6041372825575928,1.7685852225000083
